"STATIONID","Dir","LONG","LAT","LRS_ISONEWAY","LRS_NUMBERLANE","FC"
206,"E",-76.90552734,40.26018869,1,2,0
206,"W",-76.90586396,40.26015151,1,2,0
390,"E;W",-76.64052786,40.16377238,0,2,0
701,"N",-76.70874314,40.36092721,1,2,0
701,"S",-76.70882687,40.36127125,1,2,0
801,"N",-76.80460499,40.32538179,1,3,0
801,"S",-76.80473388,40.32562553,1,3,0
811,"E",-76.99800441,40.26417795,1,2,0
811,"W",-76.9975732,40.26400127,1,2,0
813,"E",-76.91774317,40.23418697,1,3,0
813,"W",-76.91794509,40.23423946,1,2,0
823,"N",-76.79591796,40.23183609,1,2,0
823,"S",-76.79611544,40.23171955,1,2,0
830,"N",-77.15428888,40.21246088,1,2,0
830,"S",-77.15458803,40.2125098,1,2,0
831,"N",-77.06625507,40.25666082,1,2,0
831,"S",-77.06653903,40.25688409,1,2,0
833,"N",-76.94393244,40.30955148,1,3,0
833,"S",-76.94411369,40.30977924,1,3,0
846,"N;S",-77.00290547,40.19404285,0,2,0
